Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Vegetables for stir-frying Italian cooked,per 100g,"0,3","1,1",27,"0,04","0,03","0,125",0,0,"1,2",26.0,341.0,26.0,"0,4",12.0,34.0,219.0,6.0,"0,27",Vegetables
Vegetables for stir-frying oriental cooked,per 100g,"0,2",1,22,"0,04","0,04","0,11",0,0,"0,7",24.0,124.0,34.0,"0,3",10.0,27.0,167.0,8.0,"0,2",Vegetables
Noodles instant prepared,per 100g,"11,1","3,4",227,"0,03","0,02","0,015",0,0,"3,2",1.0,1.0,24.0,"0,9",20.0,80.0,107.0,800.0,"0,53",Bread
Salad chicken satay,per 100g,"17,3","9,6",262,"0,04","0,04","0,186","0,07",0,"4,5",2.0,5.0,18.0,"0,4",33.0,131.0,207.0,438.0,"0,54",Drop
Salad salmon,per 100g,31,"9,3",338,"0,11","0,07","0,163","1,54","1,6","9,5",1.0,28.0,12.0,"0,4",14.0,139.0,206.0,580.0,"0,31",Drop
Salad tuna,per 100g,"24,1","11,4",288,"0,07","0,07","0,142","1,07","1,4","4,6",0.0,31.0,11.0,"0,7",20.0,157.0,250.0,538.0,"0,34",Drop
Salad crab,per 100g,24,"5,2",282,"0,03","0,03","0,065","0,48","0,2","4,8",0.0,28.0,24.0,"0,7",10.0,54.0,82.0,605.0,"0,75",Drop
Salad shrimp,per 100g,"27,6","6,7",299,"0,01","0,03","0,018","0,94","0,1","6,1",1.0,34.0,34.0,"0,6",15.0,65.0,39.0,800.0,"0,48",Drop
Popcorn salted popped wo oil,per 100g,"3,9","12,7",377,"0,38","0,12",0,0,0,0,0.0,10.0,11.0,"1,1",84.0,274.0,234.0,935.0,"0,1",Drop
Wheat baguette white w herb butter ready made,per 100g,"12,2","7,8",303,"0,06","0,03","0,024","0,05","0,1","0,6",0.0,127.0,25.0,"0,7",17.0,81.0,90.0,560.0,"0,53",Bread
